"Date","Province","Deaths"
2020-05-29,"NW",1
2020-05-30,"NW",1
2020-05-31,"NW",1
2020-06-01,"NW",1
2020-06-02,"NW",1
2020-06-03,"NW",1
2020-06-04,"NW",1
2020-06-05,"NW",1
2020-06-06,"NW",1
2020-06-07,"NW",1
2020-06-08,"NW",1
2020-06-09,"NW",1
2020-06-10,"NW",1
2020-06-11,"NW",5
2020-06-12,"NW",5
2020-06-13,"NW",5
2020-06-14,"NW",5
2020-06-15,"NW",5
2020-06-16,"NW",5
2020-06-17,"NW",5
2020-06-18,"NW",5
2020-06-19,"NW",5
2020-06-20,"NW",5
2020-06-21,"NW",5
2020-06-22,"NW",5
2020-06-23,"NW",5
2020-06-24,"NW",5
2020-06-25,"NW",5
2020-06-26,"NW",5
2020-06-27,"NW",5
2020-06-28,"NW",5
2020-06-29,"NW",7
2020-06-30,"NW",7
2020-07-01,"NW",7
2020-07-02,"NW",7
2020-07-03,"NW",36
2020-07-04,"NW",36
2020-07-05,"NW",36
2020-07-06,"NW",36
2020-07-07,"NW",36
2020-07-08,"NW",36
2020-07-09,"NW",36
2020-07-10,"NW",36
2020-07-11,"NW",36
2020-07-12,"NW",36
2020-07-13,"NW",36
2020-07-14,"NW",36
2020-07-15,"NW",48
2020-07-16,"NW",48
2020-07-17,"NW",48
2020-07-18,"NW",48
2020-07-19,"NW",48
2020-07-20,"NW",48
2020-07-21,"NW",48
2020-07-22,"NW",48
2020-07-23,"NW",48
2020-07-24,"NW",48
2020-07-25,"NW",48
2020-07-26,"NW",48
2020-07-27,"NW",59
2020-07-28,"NW",72
2020-07-29,"NW",72
2020-07-30,"NW",81
2020-07-31,"NW",81
2020-08-01,"NW",81
2020-08-02,"NW",81
2020-08-03,"NW",109
2020-08-04,"NW",109
2020-08-05,"NW",109
2020-03-27,"WC",1
2020-03-28,"WC",1
2020-03-30,"WC",1
2020-03-31,"WC",1
2020-04-03,"WC",1
2020-04-05,"WC",2
2020-04-06,"WC",3
2020-04-07,"WC",3
2020-04-08,"WC",3
2020-04-09,"WC",3
2020-04-10,"WC",6
2020-04-11,"WC",7
2020-04-12,"WC",7
2020-04-13,"WC",8
2020-04-14,"WC",8
2020-04-15,"WC",8
2020-04-16,"WC",13
2020-04-17,"WC",15
2020-04-18,"WC",16
2020-04-19,"WC",17
2020-04-20,"WC",17
2020-04-21,"WC",17
2020-04-22,"WC",22
2020-04-23,"WC",28
2020-04-24,"WC",30
2020-04-25,"WC",32
2020-04-26,"WC",33
2020-04-27,"WC",35
2020-04-28,"WC",38
2020-04-29,"WC",42
2020-04-30,"WC",42
2020-05-01,"WC",55
2020-05-02,"WC",56
